threshold_m,parameter,task,n_mean,mae_mean,mae_std,r2_mean,r2_std
250,NO3N,spatial,1188.0,1.4634266464131493,0.008813000810044257,-0.08353271265850966,0.011516509469256444
250,NO3N,spatial_temporal,1186.0,1.8802680711004836,0.011434675909607134,-0.2592615888340692,0.02360562882977828
250,NO3N,temporal,9305.0,0.8066138758480115,0.00853209296505384,0.5855719872854775,0.008447745362135635
250,TP,spatial,830.0,0.07444385521682702,0.004267415560081583,-0.00454579185350783,0.019158057894263874
250,TP,spatial_temporal,1206.0,0.089323653879385,0.002826508943373852,0.011523844051334931,0.01748727145146046
250,TP,temporal,8081.0,0.07718573473408705,0.0020948256405222765,0.28081892316107915,0.013302245219173604
250,O2-Dis,spatial,750.0,1.818937144698922,0.16400025152772038,-0.12333836243359597,0.161315812298952
250,O2-Dis,spatial_temporal,886.0,1.7584648131848533,0.12803530309731348,0.011227980007369598,0.08745953676914957
250,O2-Dis,temporal,6818.0,1.2525281649426552,0.01668683216568945,0.4555609651340122,0.010090123199013175
250,TSS,spatial,149.0,8.101508944373569,0.7669124752250244,0.028132458852296892,0.02937813125855274
250,TSS,spatial_temporal,194.0,6.897118710924668,0.5999832632892003,-0.07002274656799985,0.03717470718824808
250,TSS,temporal,1718.0,16.129626018014157,0.07887909920136224,-0.013013653240485246,0.007027526863654374
250,TEMP,spatial,297.0,3.316406668809684,0.028655788107051407,0.6442778616211068,0.011786522321898377
250,TEMP,spatial_temporal,367.0,3.391452451435989,0.07758073717759797,0.6131169791711216,0.008677697685029696
250,TEMP,temporal,5183.0,2.8170117594743,0.02873978128487847,0.6554216814962056,0.007504920059754286
250,pH,spatial,738.0,0.22938157040756108,0.00433081669165174,0.35668678456625724,0.016457990665435306
250,pH,spatial_temporal,820.0,0.19392002099686692,0.0027908928806230885,0.5183243787169954,0.0111746645754565
250,pH,temporal,7031.0,0.21927494488264107,0.0016457200781215039,0.6144167148099156,0.004279145143158672
250,EC,spatial,734.0,557.9196531715953,8.233066617214005,0.25909070400727413,0.022114279727658958
250,EC,spatial_temporal,835.0,189.62228211302107,2.532262024909328,0.5070829615965453,0.038595804712047266
250,EC,temporal,6890.0,138.21975455048388,2.861719920451216,0.34708093165635623,0.012358192754194365
500,NO3N,spatial,1459.0,1.4440753036734997,0.007552497119918046,-0.08872634411808411,0.013666251304395185
500,NO3N,spatial_temporal,1450.0,1.8142167384157388,0.012098042285376483,-0.2517736646457426,0.024760106504704716
500,NO3N,temporal,10952.0,0.8112684361803527,0.007636502943553117,0.5751238730715366,0.008157990902171458
500,TP,spatial,1034.0,0.07525484922240402,0.0044505257391424585,-0.017474886553409497,0.027503727820625153
500,TP,spatial_temporal,1483.0,0.089045876387604,0.003271760228542086,0.007302714146213351,0.017911290142553882
500,TP,temporal,9528.0,0.0801089982724019,0.0021359233934523246,0.2792993187960891,0.013490890895837871
500,O2-Dis,spatial,928.0,1.8075983877044894,0.15410842067558989,-0.058684804452584546,0.14596496686656946
500,O2-Dis,spatial_temporal,1084.0,1.7839803292744136,0.1284747534367402,0.006411532634053451,0.08979757322697289
500,O2-Dis,temporal,8266.0,1.2624094766399279,0.016360463955943084,0.4359109152812744,0.008832696952587827
500,TSS,spatial,200.0,9.024409819286141,0.5815622438283544,0.0802117914880095,0.06743625044665824
500,TSS,spatial_temporal,230.0,6.97468517196382,0.6292626274357912,-0.06420441653166713,0.025990450000133898
500,TSS,temporal,2117.0,16.17186506224897,0.1066512250011553,-0.012530080765634022,0.008082201710272022
500,TEMP,spatial,391.0,3.370850097596654,0.03350417225207046,0.6568565458279549,0.010892174375674803
500,TEMP,spatial_temporal,452.0,3.482834773781233,0.08607284848018094,0.5968607864525868,0.012826619296301195
500,TEMP,temporal,6145.0,2.8327155922645693,0.03114785754215658,0.6606825410117775,0.0075945110408412704
500,pH,spatial,900.0,0.22473370731592218,0.0045297498658358895,0.39631784509086687,0.015071478632637586
500,pH,spatial_temporal,989.0,0.19522036191972675,0.002269954149554301,0.5132857408540477,0.009751060680539868
500,pH,temporal,8504.0,0.21914658011310378,0.0017159511498633692,0.6168833195146891,0.004859824913678464
500,EC,spatial,896.0,914.5869442615169,11.19266453556057,0.2523224523014076,0.01932521008173626
500,EC,spatial_temporal,1008.0,190.73399264248354,2.779243200567247,0.4848711755010819,0.035901182522620895
500,EC,temporal,8336.0,150.5664403604912,3.1956082529781566,0.3577005714262804,0.013183118338772008
1000,NO3N,spatial,1599.0,1.4739188461547617,0.008270635360951802,-0.09162951335546032,0.013313568557639944
1000,NO3N,spatial_temporal,1590.0,1.8234907762676145,0.012546685946560365,-0.25108363224525104,0.02493723053655062
1000,NO3N,temporal,11877.0,0.8320550766542176,0.008154453283791928,0.5537216533775033,0.00874127360169132
1000,TP,spatial,1161.0,0.07783645581713725,0.00464131327782327,-0.002183332807786642,0.02278571591231623
1000,TP,spatial_temporal,1627.0,0.09221462053436354,0.0035000236833368633,0.012836809505300261,0.015830287060742184
1000,TP,temporal,10342.0,0.0810437253118704,0.002123137373533935,0.28935652810549806,0.013534391645049547
1000,O2-Dis,spatial,1026.0,1.7996193320793208,0.1526850707720414,-0.05551280778781416,0.1437873973049174
1000,O2-Dis,spatial_temporal,1203.0,1.7803836581120875,0.12387463949346547,0.0001924951604247882,0.08695062098067619
1000,O2-Dis,temporal,9168.0,1.2795832099322175,0.015633932274819535,0.43584327517358945,0.008574798402702014
1000,TSS,spatial,219.0,8.731027115587242,0.581669920993482,0.0788905496628387,0.0659661941038571
1000,TSS,spatial_temporal,249.0,6.961853761106459,0.635582673003179,-0.06723769123887324,0.022768226853960915
1000,TSS,temporal,2395.0,16.436635125113916,0.10716598192958102,-0.012892061081432437,0.008894909765104342
1000,TEMP,spatial,418.0,3.3700576988510056,0.03339729573473136,0.6586038549156397,0.010137510302063876
1000,TEMP,spatial_temporal,479.0,3.4738172466560804,0.08494762905076349,0.6002263598396878,0.013522352468322209
1000,TEMP,temporal,6784.0,2.8692395171568066,0.0312573188889379,0.6540052884821108,0.007651648570093397
1000,pH,spatial,994.0,0.21953752661213954,0.004212892310693875,0.40398488913407815,0.015024116656550035
1000,pH,spatial_temporal,1087.0,0.19340749999739595,0.0022599872831158656,0.5131866046346357,0.010726145884131354
1000,pH,temporal,9401.0,0.218049414087002,0.001799649576695482,0.6105403272803347,0.004817912998313937
1000,EC,spatial,990.0,836.2314559894901,10.276172726486287,0.25423032243281213,0.019277399345256574
1000,EC,spatial_temporal,1106.0,185.79588378262468,2.751917296542736,0.48724563363077616,0.035299110901582026
1000,EC,temporal,9226.0,153.52225849356367,3.2951550631598865,0.352246921135731,0.013071037079032313
all,NO3N,spatial,1683.0,1.4474811826518128,0.01092975155692464,-0.07862018571364562,0.012520236258902737
all,NO3N,spatial_temporal,1636.0,1.807730364024842,0.010304785494462603,-0.23610375095404237,0.023887515966372008
all,NO3N,temporal,12490.0,0.8410546192322773,0.007875776973403636,0.5497128291802527,0.008680957645776113
all,TP,spatial,1243.0,0.07930364773051127,0.005133329782137591,-0.008082011067316163,0.026976385740904104
all,TP,spatial_temporal,1680.0,0.09724333537062728,0.0036972384168973992,0.014948978272267821,0.014724496456318388
all,TP,temporal,10883.0,0.08268293131384373,0.0021137685600526313,0.2927942378410338,0.013638217235846174
all,O2-Dis,spatial,1106.0,1.8084134435131478,0.1324727480380063,-0.0162405524920868,0.11920436971345878
all,O2-Dis,spatial_temporal,1270.0,1.7868239323740274,0.10848249205511151,0.011661697085952771,0.07210949098700695
all,O2-Dis,temporal,9819.0,1.3031379858144403,0.014547500827807992,0.4237032873365649,0.00802377886270786
all,TSS,spatial,241.0,8.87936240056835,0.577208423996641,0.08382408630204705,0.06559767257454784
all,TSS,spatial_temporal,256.0,7.077964454509152,0.6477030502879308,-0.07755464561017637,0.024723607791537264
all,TSS,temporal,2611.0,16.748302323261502,0.11722590123692317,-0.016088881044974235,0.009209255540804857
all,TEMP,spatial,449.0,3.4267418471971802,0.02753968076393678,0.6489677289580366,0.010577163228354645
all,TEMP,spatial_temporal,495.0,3.509795507182271,0.08631180648278734,0.5849643430456071,0.014343680064512868
all,TEMP,temporal,7259.0,2.929278606587918,0.03183211809212912,0.6463435350284801,0.007891547068330071
all,pH,spatial,1057.0,0.2233212674677833,0.004671685002674629,0.48038476137138836,0.014927714595438716
all,pH,spatial_temporal,1136.0,0.19813917836687883,0.0022289501722359403,0.5709763244694288,0.008295102159795386
all,pH,temporal,10040.0,0.2182186741187941,0.0017714885868879739,0.6025682573720741,0.0048026509440812345
all,EC,spatial,1053.0,925.5231267451003,10.592977691790377,0.24543343500507814,0.017933550486342122
all,EC,spatial_temporal,1159.0,190.54520058734522,2.537255691578671,0.4764456507273839,0.03454881919024345
all,EC,temporal,9844.0,164.73858924858433,3.309512723916439,0.35567751821879157,0.013529044116287012
