split,nodes,unique_split_keys,countries,main_basins_nonmissing,median_match_m,p95_match_m
train,10016,139,36,121,136.8460426160177,1104.813092460372
test,2147,28,25,22,159.60904153719787,1084.9034368220216
validation,2147,28,21,25,147.51946682893976,973.2914970819272
